OBJECTID,LOCATION,Longtitude,Latitude,INTID
89,"THIRD AVE, ELEVENTH ST",505565.4904,5450125.882,INT407
90,"EWEN AVE, JOHNSTON ST",504771.0543,5448728.46,INT57
91,"ROYAL AVE, FOURTH ST",506672.2891,5450478.396,INT677
92,MCGILLVRAY PL,504189.8203,5448575.016,INT930
93,"GARFIELD ST, WINTHROP ST",507533.6221,5453265.676,INT526
94,"FRONT ST, BEGBIE ST",506573.6238,5449841.488,INT246
95,"FOURTH AVE, EIGHTH ST",505804.9226,5450609.707,INT42
96,"E ROYAL AVE, ROSS DR",507394.4443,5451211.639,INT16
97,"SECOND ST, NINTH AVE",505834.4001,5452040.091,INT215
98,"DUBLIN ST, TWELFTH ST",504662.5784,5451020.522,INT390
99,"CHURCHILL AVE, YORK ST",506658.8563,5452675.672,INT569
100,BOYD ST,504447.7532,5449041.686,INT892
101,"ROYAL AVE, ASH ST",506261.9644,5450149.321,INT674
102,"CUNNINGHAM ST, FOURTH ST",506713.9746,5450427.485,INT678
103,"STEWARDSON WAY, FIFTH AVE",504821.4631,5450127.472,INT669
104,"E EIGHTH AVE, MCBRIDE BLVD",506410.4848,5452190.647,INT588
105,MCBRIDE BLVD,506318.1999,5452282.32,INT586
106,"AGNES ST, FIRST ST",507151.2941,5450717.979,INT484
107,"SOUTH DYKE RD, GIFFORD ST",503807.5879,5447487.398,INT101
108,"SINCLAIR AVE, SECOND ST",505860.153,5452008.89,INT224
109,SPRICE ST,504250.2855,5447774.945,INT99
110,"E EIGHTH AVE, MCBRIDE BLVD",506414.9662,5452184.065,INT595
111,"BEGBIE ST, QUAYSIDE DR",506591.7735,5449815.833,INT245
112,K DE K CRT,506143.8382,5449532.657,INT907
113,COLLEGE CRT,506839.8335,5451026.588,INT719
114,"AGNES ST, FOURTH ST",506748.7637,5450385.068,INT963
115,"SECOND ST, SANDRINGHAM AVE",505886.8894,5451976.673,INT223
116,"FOURTH AVE, ARBUTUS ST",506598.7273,5451264.674,INT429
117,"FADER ST, SHERBROOKE ST",507991.8546,5452793.155,INT544
118,"MCBRIDE BLVD, E EIGHTH AVE, EIGHTH AVE",506408.9181,5452184.694,INT587
119,"STEWARDSON WAY, MARINE WAY",504305.58,5449903.1,INT898
120,"EIGHTH ST, KENNEDY ST",505875.5806,5450524.103,INT41
121,"EDINBURGH ST, TWELFTH ST",504729.605,5450939.336,INT389
122,"DICKENSON ST, FOURTH ST, VICTORIA ST",506784.3963,5450343.391,INT467
123,PIER PL,503347.8759,5447204.921,INT23
124,"HARVEY ST, FISHER ST",507117.7398,5452200.841,INT324
125,"MCBRIDE BLVD, EIGHTH AVE",506402.6575,5452185.317,INT591
126,"RICHMOND ST, KWANTLEN CT",507437.263,5451881.332,INT503
127,"MCBRIDE BLVD, EIGHTH AVE",506407.5258,5452179.404,INT594
128,GINGER DR,506953.2859,5451633.681,INT632
129,"JOHNSTON ST, BOYD ST, FENTON ST",504448.7196,5449024.055,INT103
130,"RIVER DR, TWENTY-FIRST ST",503935.8718,5449537.33,INT536
131,CAPILANO WAY,508450.842,5452326.811,INT540
132,"OVENS AVE, SECOND ST",505926.9222,5451927.97,INT225
133,"FIFTH AVE, LOUELLEN ST",505235.7663,5450426.282,INT409
134,"SIXTH AVE, FIFTH ST",505892.6125,5451229.224,INT455
135,"QUEENS AVE, ELEVENTH ST",505710.274,5449950.235,INT406
136,"SECOND ST, OSBORNE AVE",505940.3937,5451911.764,INT218
137,"WINTHROP ST, ELMER ST",507544.5017,5453228.194,INT34
138,"CARNARVON ST, FOURTH ST",506819.2653,5450300.201,INT645
139,"BRUNETTE AVE, ALLEN ST",508141.5165,5452629.424,INT616
140,ARBUTUS ST,506667.4472,5451181.252,INT431
141,"SALTER ST, HOLLY AVE",505394.3608,5448800.413,INT28
142,"YORK ST, JACKSON CR",506767.4256,5452540.735,INT329
143,"EIGHTH AVE, TWELFTH ST",504796.4099,5450858.461,INT286
144,"THIRD AVE, EIGHTH ST",505946.0587,5450438.717,INT39
145,"MCDONALD ST, WINTHROP ST",507566.5797,5453201.465,INT33
146,"AMESS ST, WINTHROP ST",507491.5171,5453276.256,INT690
147,RICHMOND ST,507374.34,5451931.33,INT501
148,"CLARKSON ST, FOURTH ST",506861.728,5450251.024,INT965
149,"E COLUMBIA ST, WARD ST",507806.2283,5452958.52,INT756
150,"FIFTH AVE, FIFTH ST",506030.162,5451081.628,INT194
151,"EIGHTH AVE, SECOND ST",505993.9055,5451846.76,INT221
152,"E EIGHTH AVE, YORK ST",506797.6558,5452502.996,INT330
153,"KINGSTON ST, TWELFTH ST",504831.5903,5450815.807,INT287
154,ECKERT AVE,503449.116,5447815.381,INT77
155,HOLLY AVE,505408.4797,5448778.122,INT29
156,MCBRIDE BLVD,506526.858,5452041.634,INT593
157,"E EIGHTH AVE, WINTHROP ST",507604.1715,5453154.504,INT827
158,"RICHMOND ST, SEYMOUR CRT",507381.6246,5451915.805,INT637
