X,Y,OBJECTID,LOCATION,Longtitude,Latitude,INTID
-13686359.82,6306528.291,65,"EWEN AVE, HIGHWAY 91A, HOWES ST",503886.6978,5448165.198,INT835
-13682380.61,6309251.691,66,"CLARKSON ST, BEGBIE ST",506489.3833,5449944.973,INT860
-13681138.12,6310244.384,67,"COLUMBIA ST, PATTULLO ON-RAMP",507301.5911,5450593.693,INT603
-13685679.44,6306962.081,68,"EWEN AVE, CAMPBELL ST",504331.849,5448448.664,INT110
-13681466.31,6310572.341,69,"ROYAL AVE, FIRST ST",507086.5798,5450807.378,INT483
-13686545.48,6305590.872,70,"SPARKS CT, GIFFORD ST, PRETTY CT",503765.5817,5447553.21,INT51
-13682162.61,6310146.062,71,FOURTH ST,506631.3393,5450528.697,INT961
-13683532.93,6310401.435,72,"EIGHTH ST, ST. ANDREWS ST",505734.5415,5450694.304,INT874
-13686591.39,6308992.275,73,TWENTY-FIRST ST,503734.0233,5449773.145,INT844
-13682225.18,6313571.89,74,"RICKMAN PL, YORK ST",506587.7266,5452763.343,INT571
-13683845.44,6309595.153,75,"OXFORD ST, ELEVENTH ST",505530.595,5450168.036,INT399
-13685274.33,6311028.906,76,"LONDON ST, TWELFTH ST",504594.8075,5451102.596,INT391
-13681029.6,6312365.234,77,"RICHMOND ST, CUMBERLAND ST",507370.7521,5451977.325,INT500
-13682821.87,6309680.526,78,"GLOUCESTER ST, ASH ST",506200.3156,5450224.452,INT718
-13683460.31,6312564.851,79,"SECOND ST, BLACKMAN ST",505780.574,5452105.63,INT217
-13683170.66,6308909.738,80,COLUMBIA ST,505972.6318,5449721.257,INT836
-13682321.21,6309177.19,81,"COLUMBIA ST, BEGBIE ST",506528.3159,5449896.407,INT454
-13679776.98,6314466.124,82,WILSON ST,508188.1072,5453348.658,INT769
-13682639.15,6312857.264,83,"SANGSTER PL, MCBRIDE BLVD",506317.5039,5452296.944,INT589
-13686364.58,6308755.2,84,TWENTY-FIRST ST,503882.5613,5449618.547,INT535
-13683442.58,6312543.101,85,"GLOVER AVE, SECOND ST",505792.1921,5452091.455,INT216
-13686161.37,6307429.852,86,BOYD ST,504016.1756,5448753.724,INT82
-13683471.2,6311450.306,87,"SEVENTH AVE, FIFTH ST",505774.2161,5451378.609,INT157
-13680360.49,6313930.139,88,"E COLUMBIA ST, MAJOR ST",507807,5452998.573,INT755
-13683792.18,6309530.494,89,"THIRD AVE, ELEVENTH ST",505565.4904,5450125.882,INT407
-13685008.08,6307390.221,90,"EWEN AVE, JOHNSTON ST",504771.0543,5448728.46,INT57
-13682100.12,6310068.89,91,"ROYAL AVE, FOURTH ST",506672.2891,5450478.396,INT677
-13685896.28,6307155.839,92,MCGILLVRAY PL,504189.8203,5448575.016,INT930
-13680777.92,6314340.305,93,"GARFIELD ST, WINTHROP ST",507533.6221,5453265.676,INT526
-13682252.07,6309092.944,94,"FRONT ST, BEGBIE ST",506573.6238,5449841.488,INT246
-13683425.5,6310271.657,95,"FOURTH AVE, EIGHTH ST",505804.9226,5450609.707,INT42
-13680994.95,6311191.388,96,"E ROYAL AVE, ROSS DR",507394.4443,5451211.639,INT16
-13683378.13,6312464.284,97,"SECOND ST, NINTH AVE",505834.4001,5452040.091,INT215
-13685170.85,6310903.011,98,"DUBLIN ST, TWELFTH ST",504662.5784,5451020.522,INT390
-13682116.59,6313437.332,99,"CHURCHILL AVE, YORK ST",506658.8563,5452675.672,INT569
-13685501.64,6307870.576,100,BOYD ST,504447.7532,5449041.686,INT892
-13682727.79,6309565.272,101,"ROYAL AVE, ASH ST",506261.9644,5450149.321,INT674
-13682036.51,6309990.781,102,"CUNNINGHAM ST, FOURTH ST",506713.9746,5450427.485,INT678
-13684929.2,6309534.005,103,"STEWARDSON WAY, FIFTH AVE",504821.4631,5450127.472,INT669
-13682497.19,6312694.127,104,"E EIGHTH AVE, MCBRIDE BLVD",506410.4848,5452190.647,INT588
-13682638.11,6312834.841,105,MCBRIDE BLVD,506318.1999,5452282.32,INT586
